Running as regular user pi
pulse 3519
space 1679
pulse 487
space 382
pulse 488
space 1256
pulse 488
space 382
pulse 488
space 382
pulse 487
space 383
pulse 488
space 382
pulse 488
space 383
pulse 488
space 381
pulse 488
space 382
pulse 488
space 384
pulse 487
space 381
pulse 487
space 382
pulse 488
space 383
pulse 487
space 1254
pulse 487
space 382
pulse 487
space 383
pulse 486
space 391
pulse 488
space 378
pulse 488
space 383
pulse 486
space 382
pulse 489
space 375
pulse 487
space 1255
pulse 491
space 1252
pulse 487
space 1255
pulse 487
space 394
pulse 477
space 382
pulse 487
space 1256
pulse 487
space 383
pulse 487
space 383
pulse 487
space 383
pulse 487
space 384
pulse 487
space 383
pulse 488
space 382
pulse 488
space 381
pulse 488
space 383
pulse 492
space 379
pulse 486
space 383
pulse 487
space 384
pulse 487
space 381
pulse 487
space 382
pulse 488
space 381
pulse 487
space 383
pulse 487
space 382
pulse 487
space 384
pulse 487
space 382
pulse 487
space 384
pulse 487
space 391
pulse 486
space 381
pulse 486
space 383
pulse 486
space 382
pulse 487
space 382
pulse 487
space 383
pulse 491
space 374
pulse 486
space 386
pulse 483
space 384
pulse 487
space 382
pulse 487
space 382
pulse 486
space 1267
pulse 477
space 1255
pulse 488
space 383
pulse 487
space 383
pulse 487
space 382
pulse 488
space 382
pulse 486
space 383
pulse 487
space 9990
pulse 3524
space 1683
pulse 490
space 376
pulse 486
space 1254
pulse 487
space 382
pulse 486
space 383
pulse 486
space 383
pulse 486
space 382
pulse 488
space 382
pulse 487
space 390
pulse 481
space 382
pulse 487
space 383
pulse 487
space 383
pulse 488
space 383
pulse 485
space 383
pulse 486
space 1257
pulse 486
space 382
pulse 486
space 383
pulse 487
space 383
pulse 487
space 383
pulse 494
space 380
pulse 483
space 382
pulse 487
space 383
pulse 487
space 1256
pulse 487
space 1256
pulse 488
space 1255
pulse 487
space 383
pulse 487
space 382
pulse 490
space 1262
pulse 483
space 382
pulse 486
space 383
pulse 487
space 382
pulse 487
space 383
pulse 482
space 382
pulse 487
space 383
pulse 487
space 384
pulse 487
space 383
pulse 487
space 382
pulse 487
space 383
pulse 495
space 375
pulse 486
space 382
pulse 487
space 383
pulse 486
space 1256
