Running as regular user pi
pulse 163
timeout 133508
pulse 3507
space 1685
pulse 486
space 379
pulse 491
space 1253
pulse 490
space 378
pulse 490
space 380
pulse 489
space 378
pulse 489
space 380
pulse 490
space 379
pulse 491
space 379
pulse 491
space 379
pulse 490
space 379
pulse 490
space 379
pulse 491
space 356
pulse 514
space 380
pulse 490
space 1251
pulse 490
space 379
pulse 490
space 378
pulse 491
space 356
pulse 513
space 380
pulse 491
space 378
pulse 490
space 380
pulse 496
space 379
pulse 488
space 1251
pulse 489
space 1257
pulse 482
space 1250
pulse 490
space 380
pulse 491
space 377
pulse 492
space 1252
pulse 490
space 387
pulse 484
space 378
pulse 494
space 376
pulse 490
space 379
pulse 490
space 379
pulse 490
space 379
pulse 490
space 379
pulse 490
space 380
pulse 490
space 379
pulse 490
space 379
pulse 490
space 380
pulse 490
space 379
pulse 498
space 372
pulse 489
space 380
pulse 491
space 378
pulse 489
space 379
pulse 491
space 378
pulse 492
space 380
pulse 489
space 379
pulse 490
space 379
pulse 489
space 379
pulse 491
space 379
pulse 490
space 379
pulse 491
space 385
pulse 489
space 376
pulse 491
space 357
pulse 512
space 378
pulse 490
space 380
pulse 490
space 378
pulse 493
space 373
pulse 490
space 1250
pulse 490
space 1250
pulse 490
space 379
pulse 500
space 375
pulse 486
space 355
pulse 513
space 380
pulse 491
space 378
pulse 490
space 9986
pulse 3517
space 1684
pulse 489
space 380
pulse 499
space 1247
pulse 490
space 380
pulse 493
space 371
pulse 490
space 378
pulse 490
space 379
pulse 491
space 379
pulse 490
space 380
pulse 490
space 380
pulse 491
space 380
pulse 490
space 377
pulse 500
space 371
pulse 490
space 379
pulse 489
space 1253
pulse 490
space 378
pulse 490
space 381
pulse 490
space 357
pulse 512
space 380
pulse 490
space 380
pulse 489
space 381
pulse 490
space 380
pulse 490
space 1258
pulse 486
space 1251
pulse 490
space 1251
pulse 490
space 380
pulse 490
space 380
pulse 496
space 1247
pulse 489
space 356
pulse 513
space 379
pulse 494
space 384
pulse 486
space 377
pulse 489
space 380
pulse 489
space 377
pulse 492
space 380
pulse 489
space 384
pulse 482
space 379
pulse 489
space 378
pulse 490
space 378
pulse 491
space 379
pulse 490
space 380
pulse 490
space 389
pulse 481
space 378
pulse 490
space 379
pulse 491
space 380
pulse 490
space 380
pulse 493
space 377
pulse 490
space 1253
pulse 489
space 380
pulse 490
space 380
pulse 492
space 376
pulse 491
space 379
pulse 493
space 1249
pulse 490
space 379
pulse 490
space 1253
pulse 490
space 380
pulse 490
space 379
pulse 491
space 379
pulse 489
space 385
pulse 485
space 379
pulse 490
space 380
pulse 489
space 385
pulse 492
space 375
pulse 492
space 378
pulse 489
space 1252
pulse 489
space 1257
pulse 481
space 1251
pulse 489
space 1252
pulse 490
space 1262
pulse 482
space 378
pulse 490
space 1252
pulse 490
space 380
pulse 489
space 1252
pulse 490
space 356
pulse 513
space 379
