Running as regular user pi
pulse 3533
space 1684
pulse 492
space 377
pulse 493
space 1249
pulse 498
space 372
pulse 493
space 377
pulse 493
space 377
pulse 493
space 376
pulse 493
space 377
pulse 493
space 376
pulse 492
space 377
pulse 494
space 376
pulse 494
space 376
pulse 493
space 376
pulse 493
space 377
pulse 494
space 1251
pulse 489
space 375
pulse 493
space 377
pulse 492
space 378
pulse 494
space 376
pulse 493
space 377
pulse 492
space 377
pulse 494
space 376
pulse 494
space 1249
pulse 494
space 1258
pulse 489
space 1248
pulse 493
space 376
pulse 493
space 381
pulse 484
space 1250
pulse 493
space 375
pulse 493
space 381
pulse 490
space 376
pulse 493
space 376
pulse 494
space 386
pulse 484
space 375
pulse 493
space 375
pulse 493
space 377
pulse 493
space 377
pulse 493
space 375
pulse 493
space 376
pulse 492
space 377
pulse 494
space 377
pulse 493
space 376
pulse 494
space 376
pulse 493
space 376
pulse 498
space 374
pulse 492
space 377
pulse 493
space 376
pulse 493
space 377
pulse 493
space 376
pulse 494
space 376
pulse 494
space 376
pulse 493
space 376
pulse 493
space 376
pulse 492
space 377
pulse 493
space 376
pulse 494
space 382
pulse 495
space 373
pulse 493
space 377
pulse 493
space 1248
pulse 492
space 1253
pulse 486
space 374
pulse 497
space 373
pulse 493
space 376
pulse 493
space 376
pulse 494
space 376
pulse 498
space 9979
pulse 3543
space 1686
pulse 493
space 376
pulse 494
space 1250
pulse 494
space 376
pulse 493
space 376
pulse 500
space 373
pulse 492
space 377
pulse 493
space 382
pulse 486
space 376
pulse 493
space 376
pulse 493
space 376
pulse 494
space 377
pulse 494
space 374
pulse 493
space 376
pulse 494
space 1249
pulse 493
space 385
pulse 485
space 376
pulse 494
space 376
pulse 494
space 376
pulse 494
space 377
pulse 493
space 377
pulse 493
space 377
pulse 493
space 1248
pulse 494
space 1251
pulse 492
space 1252
pulse 490
space 374
pulse 499
space 372
pulse 493
space 1249
pulse 493
space 377
pulse 493
space 377
pulse 493
space 377
pulse 493
space 377
pulse 493
space 376
pulse 493
space 377
pulse 493
space 383
pulse 470
space 398
pulse 491
space 377
pulse 490
space 379
pulse 491
space 378
pulse 491
space 381
pulse 486
space 377
pulse 492
space 1250
pulse 492
space 377
pulse 493
space 377
pulse 493
space 376
pulse 501
space 1243
pulse 492
space 1249
pulse 470
space 399
pulse 469
space 399
pulse 492
space 378
pulse 493
space 376
pulse 491
space 1250
pulse 492
space 378
pulse 475
space 1268
pulse 493
space 1250
pulse 492
space 378
pulse 470
space 399
pulse 469
space 404
pulse 466
space 398
pulse 471
space 399
pulse 493
space 378
pulse 492
space 377
pulse 470
space 408
pulse 469
space 397
pulse 470
space 1272
pulse 492
space 1255
pulse 485
space 1247
pulse 493
space 1250
pulse 492
space 1251
pulse 498
space 1247
pulse 466
space 399
pulse 493
space 1250
pulse 492
space 377
pulse 493
space 377
pulse 493
space 377
pulse 492
space 377
pulse 493
space 378
pulse 492
space 378
pulse 492
space 384
pulse 487
space 377
pulse 493
space 377
pulse 493
space 377
pulse 492
space 377
pulse 492
space 378
pulse 493
space 377
pulse 493
space 377
pulse 492
space 377
pulse 493
space 377
pulse 497
space 372
pulse 469
space 399
pulse 475
space 1275
pulse 489
space 1252
pulse 491
space 376
pulse 474
space 393
pulse 491
space 377
pulse 471
space 400
pulse 469
space 399
pulse 492
space 377
pulse 470
space 400
pulse 492
space 386
pulse 462
space 398
pulse 492
space 377
pulse 469
space 1273
pulse 470
space 1272
pulse 472
space 397
pulse 470
space 398
pulse 471
space 399
pulse 492
space 377
pulse 470
space 399
pulse 475
space 396
pulse 492
space 377
pulse 471
space 399
pulse 470
space 401
pulse 470
space 399
pulse 470
space 399
pulse 470
space 400
pulse 470
space 399
pulse 470
space 401
pulse 470
space 399
pulse 469
space 405
pulse 465
space 407
pulse 493
space 373
pulse 470
space 400
pulse 492
space 376
pulse 470
space 399
pulse 492
space 378
pulse 496
space 370
pulse 469
space 399
pulse 492
space 1251
pulse 492
space 377
pulse 492
space 377
pulse 503
space 369
pulse 470
space 399
pulse 492
space 377
pulse 470
space 399
pulse 492
space 377
pulse 492
space 378
pulse 493
space 377
pulse 491
space 1249
pulse 492
space 1249
pulse 495
space 380
pulse 489
space 376
pulse 492
space 377
pulse 493
space 378
pulse 492
space 377
pulse 492
space 376
pulse 493
space 1250
pulse 470
space 1273
pulse 470
space 400
pulse 470
space 1280
pulse 469
space 1274
pulse 467
space 398
pulse 470
space 398
pulse 475
timeout 125306
pulse 3534
space 1683
pulse 493
space 376
pulse 493
space 1248
pulse 494
space 376
pulse 493
space 375
pulse 495
space 352
pulse 517
space 376
pulse 493
space 374
pulse 495
space 375
pulse 493
space 376
pulse 499
space 372
pulse 494
space 375
pulse 494
space 375
pulse 494
space 375
pulse 494
space 1250
pulse 494
space 376
pulse 494
space 375
pulse 493
space 376
pulse 494
space 375
pulse 494
space 377
pulse 494
space 382
pulse 495
space 371
pulse 493
space 1249
pulse 496
space 1242
pulse 493
space 1249
pulse 494
space 376
pulse 494
space 375
pulse 494
space 1250
pulse 502
space 369
pulse 493
space 375
pulse 493
space 375
pulse 495
space 376
pulse 494
space 376
pulse 495
space 376
pulse 494
space 377
pulse 494
space 376
pulse 494
space 377
pulse 494
space 375
pulse 494
space 376
pulse 494
space 383
pulse 487
space 376
pulse 494
space 376
pulse 494
space 376
pulse 494
space 375
pulse 495
space 376
pulse 494
space 376
