Running as regular user pi
pulse 3504
space 1679
pulse 490
space 378
pulse 491
space 1251
pulse 491
space 356
pulse 512
space 378
pulse 490
space 379
pulse 491
space 380
pulse 490
space 377
pulse 491
space 378
pulse 490
space 378
pulse 490
space 379
pulse 491
space 380
pulse 491
space 378
pulse 491
space 379
pulse 490
space 1256
pulse 487
space 378
pulse 491
space 378
pulse 490
space 378
pulse 490
space 378
pulse 490
space 378
pulse 491
space 378
pulse 492
space 380
pulse 490
space 1251
pulse 490
space 1257
pulse 495
space 1245
pulse 490
space 379
pulse 489
space 381
pulse 493
space 1243
pulse 490
space 378
pulse 490
space 378
pulse 491
space 379
pulse 490
space 379
pulse 491
space 378
pulse 496
space 374
pulse 490
space 378
pulse 491
space 380
pulse 491
space 377
pulse 491
space 380
pulse 490
space 378
pulse 491
space 377
pulse 493
space 378
pulse 490
space 379
pulse 492
space 378
pulse 491
space 377
pulse 491
space 384
pulse 486
space 378
pulse 491
space 378
pulse 492
space 378
pulse 491
space 378
pulse 492
space 375
pulse 493
space 379
pulse 490
space 379
pulse 491
space 378
pulse 491
space 379
pulse 490
space 378
pulse 491
space 379
pulse 498
space 380
pulse 487
space 381
pulse 488
space 1249
pulse 492
space 1265
pulse 474
space 377
pulse 491
space 378
pulse 490
space 378
pulse 491
space 378
pulse 491
space 379
pulse 491
space 9985
pulse 3515
space 1678
pulse 490
space 378
pulse 491
space 1252
pulse 490
space 379
pulse 490
space 379
pulse 490
space 386
pulse 487
space 382
pulse 487
space 377
pulse 496
space 370
pulse 489
space 377
pulse 491
space 380
pulse 490
space 379
pulse 490
space 379
pulse 491
space 378
pulse 490
space 1253
pulse 490
space 378
pulse 499
space 370
pulse 489
space 379
pulse 490
space 379
pulse 490
space 379
pulse 490
space 381
pulse 490
space 377
pulse 491
space 1251
pulse 496
space 1246
pulse 489
space 1258
pulse 484
space 378
pulse 490
space 379
pulse 490
space 1252
pulse 490
space 379
pulse 491
space 378
pulse 490
space 378
pulse 490
space 378
pulse 493
space 378
pulse 490
space 380
pulse 491
space 398
pulse 476
space 377
pulse 490
space 378
pulse 490
space 377
pulse 490
space 377
pulse 490
space 379
pulse 494
space 371
pulse 490
space 1251
pulse 490
space 378
pulse 490
space 380
pulse 490
space 379
pulse 500
space 371
pulse 490
space 1251
pulse 491
space 376
pulse 488
space 380
pulse 489
space 379
pulse 491
space 379
pulse 490
space 1251
pulse 490
space 379
pulse 490
space 1258
pulse 486
space 1254
pulse 487
space 379
pulse 491
space 379
pulse 490
space 378
pulse 491
space 378
pulse 491
space 379
pulse 491
space 380
pulse 490
space 378
pulse 490
space 378
pulse 491
space 380
pulse 494
space 1253
pulse 488
space 1253
pulse 492
space 1252
pulse 484
space 1250
pulse 490
space 1252
pulse 489
space 1259
pulse 482
space 378
pulse 491
space 1250
pulse 490
space 379
pulse 490
space 379
pulse 490
space 381
pulse 490
space 377
pulse 491
space 379
pulse 490
space 379
pulse 490
space 379
pulse 490
space 378
pulse 498
space 372
pulse 490
space 378
pulse 490
space 378
pulse 491
space 381
pulse 490
space 378
pulse 487
space 381
pulse 495
space 375
pulse 490
space 378
pulse 491
space 378
pulse 491
space 380
pulse 490
space 1253
pulse 493
space 1249
pulse 488
space 380
pulse 492
space 377
pulse 493
space 371
pulse 489
space 379
pulse 490
space 380
pulse 490
space 377
pulse 491
space 379
pulse 490
space 379
pulse 491
space 378
pulse 498
space 372
pulse 490
space 1251
pulse 490
space 1251
pulse 490
space 380
pulse 490
space 378
pulse 490
space 378
pulse 489
space 379
pulse 489
space 379
pulse 490
space 379
pulse 490
space 384
pulse 486
space 380
pulse 490
space 378
pulse 490
space 379
pulse 489
space 379
pulse 490
space 380
pulse 490
space 379
pulse 492
space 384
pulse 485
space 379
pulse 491
space 378
pulse 490
space 379
pulse 490
space 379
pulse 494
space 379
pulse 486
space 385
pulse 487
space 379
pulse 490
space 379
pulse 491
space 377
pulse 488
space 384
pulse 485
space 1250
pulse 490
space 379
pulse 490
space 380
pulse 491
space 378
pulse 490
space 389
pulse 482
space 378
pulse 489
space 380
pulse 490
space 380
pulse 490
space 379
pulse 489
space 379
pulse 490
space 1252
pulse 489
space 1226
pulse 517
space 377
pulse 489
space 380
pulse 494
space 376
pulse 490
space 379
pulse 490
space 380
pulse 490
space 378
pulse 491
space 1251
pulse 489
space 1252
pulse 490
space 378
pulse 494
space 374
pulse 489
space 1268
pulse 480
space 377
pulse 491
space 377
pulse 492
timeout 127487
pulse 3501
space 1679
pulse 490
space 378
pulse 492
space 1248
pulse 494
space 378
pulse 490
space 378
pulse 493
